carat,cut,color,clarity,depth,table,price
0.3,Very Good,H,SI1,63.1,56,554
0.3,Premium,H,SI1,62.9,59,554
0.3,Premium,H,SI1,62.5,57,554
0.3,Good,H,SI1,63.7,57,554
0.26,Very Good,F,VVS2,59.2,60,554
0.26,Very Good,E,VVS2,59.9,58,554
0.26,Very Good,D,VVS2,62.4,54,554
0.26,Very Good,D,VVS2,62.8,60,554
0.26,Very Good,E,VVS1,62.6,59,554
0.26,Very Good,E,VVS1,63.4,59,554
0.26,Very Good,D,VVS1,62.1,60,554
0.26,Ideal,E,VVS2,62.9,58,554
0.38,Ideal,I,SI2,61.6,56,554
0.24,Premium,G,VVS1,62.3,59,554
0.24,Premium,H,VVS1,61.2,58,554
0.24,Premium,H,VVS1,60.8,59,554
0.24,Premium,H,VVS2,60.7,58,554
0.7,Ideal,E,SI1,62.5,57,2757
0.86,Fair,E,SI2,55.1,69,2757
0.7,Ideal,G,VS2,61.6,56,2757
0.71,Very Good,E,VS2,62.4,57,2759
0.78,Very Good,G,SI2,63.8,56,2759
0.7,Good,E,VS2,57.5,58,2759
0.7,Good,F,VS1,59.4,62,2759
0.96,Fair,F,SI2,66.3,62,2759
0.73,Very Good,E,SI1,61.6,59,2760
0.8,Premium,H,SI1,61.5,58,2760
0.75,Very Good,D,SI1,63.2,56,2760
0.75,Premium,E,SI1,59.9,54,2760
0.75,Premium,G,VS2,61.7,58,2760
0.8,Ideal,I,VS1,62.9,56,2760
0.75,Ideal,G,SI1,62.2,55,2760
0.8,Premium,G,SI1,63,59,2760
0.74,Ideal,I,VVS2,62.3,55,2761
0.81,Ideal,F,SI2,58.8,57,2761
0.59,Ideal,E,VVS2,62,55,2761
0.8,Ideal,F,SI2,61.4,57,2761
0.74,Ideal,E,SI2,62.2,56,2761
0.9,Premium,I,VS2,63,58,2761
0.74,Very Good,G,SI1,62.2,59,2762
0.73,Ideal,F,VS2,62.6,56,2762
0.73,Ideal,F,VS2,62.7,53,2762
0.8,Premium,F,SI2,61.7,58,2762
0.71,Ideal,G,VS2,62.4,54,2762
0.7,Ideal,E,VS2,60.7,58,2762
0.8,Ideal,F,SI2,59.9,59,2762
0.74,Ideal,E,SI1,62.3,54,2762
0.7,Very Good,F,VS2,61.7,63,2762
0.7,Fair,F,VS2,64.5,57,2762
0.7,Fair,F,VS2,65.3,55,2762
0.7,Premium,F,VS2,61.6,60,2762
0.91,Premium,H,SI1,61.4,56,2763
0.61,Very Good,D,VVS2,59.6,57,2763
0.91,Fair,H,SI2,64.4,57,2763
0.91,Fair,H,SI2,65.7,60,2763
0.77,Ideal,H,VS2,62,56,2763
0.71,Very Good,D,SI1,63.6,58,2764
0.71,Ideal,D,SI1,61.9,59,2764
0.7,Very Good,E,VS2,62.6,60,2765
0.77,Very Good,H,VS1,61.3,60,2765
0.63,Premium,E,VVS1,60.9,60,2765
0.71,Very Good,F,VS1,60.1,62,2765
0.71,Premium,F,VS1,61.8,59,2765
0.76,Ideal,H,SI1,61.2,57,2765
0.64,Ideal,G,VVS1,61.9,56,2766
0.71,Premium,G,VS2,60.9,57,2766
0.71,Premium,G,VS2,59.8,56,2766
0.7,Very Good,D,VS2,61.8,55,2767
0.7,Very Good,F,VS1,60,57,2767
0.7,Good,H,VVS2,62.1,64,2767
0.71,Very Good,G,VS1,63.3,59,2768
0.73,Very Good,D,SI1,60.2,56,2768
0.7,Very Good,D,SI1,61.1,58,2768
0.7,Ideal,E,SI1,60.9,57,2768
0.71,Premium,D,SI2,61.7,59,2768
0.71,Premium,D,VS2,62.5,60,2770
0.73,Premium,G,VS2,61.4,59,2770
0.76,Very Good,F,SI1,62.9,57,2770
0.76,Ideal,D,SI2,62.4,57,2770
0.71,Ideal,F,SI1,60.7,56,2770
0.73,Premium,G,VS2,60.7,58,2770
0.73,Premium,G,VS1,61.5,58,2770
0.73,Ideal,D,SI2,59.9,57,2770
0.73,Premium,G,VS2,59.2,59,2770
0.72,Very Good,H,VVS2,60.3,56,2771
0.73,Very Good,F,SI1,61.7,60,2771
0.71,Ideal,G,VS2,61.9,57,2771
0.79,Ideal,F,SI2,61.9,55,2771
0.73,Very Good,H,VVS1,60.4,59,2772
0.8,Very Good,F,SI2,61,57,2772
0.58,Ideal,G,VVS1,61.5,55,2772
0.58,Ideal,F,VVS1,61.7,56,2772
0.71,Good,E,VS2,59.2,61,2772
0.75,Ideal,D,SI2,61.3,56,2773
1.17,Very Good,J,I1,60.2,61,2774
0.7,Ideal,E,SI1,62.7,55,2774
0.83,Good,I,VS2,64.6,54,2774
0.74,Very Good,F,VS2,61.3,61,2775
0.72,Very Good,G,VS2,63.7,56.4,2776
0.71,Premium,E,VS2,62.7,58,2776
0.71,Ideal,E,VS2,62.2,57,2776
0.54,Ideal,E,VVS2,61.6,56,2776
0.54,Ideal,E,VVS2,61.5,57,2776
0.72,Ideal,G,SI1,60.7,56,2776
0.71,Ideal,G,SI1,60.5,56,2776
0.7,Very Good,D,VS1,62.7,58,2777
0.71,Premium,F,VS2,62.1,58,2777
0.71,Very Good,F,VS2,62.8,57,2777
0.71,Good,F,VS2,63.8,58,2777
0.7,Ideal,E,VS2,62.1,55,2777
0.7,Premium,E,VS2,61.1,60,2777
0.7,Premium,E,SI1,60,59,2777
0.7,Premium,E,SI1,61.2,57,2777
0.7,Premium,E,SI1,62.7,59,2777
0.7,Premium,E,SI1,61,57,2777
0.7,Premium,E,SI1,61,58,2777
0.7,Ideal,E,SI1,61.4,57,2777
0.72,Premium,F,SI1,61.8,61,2777
0.7,Very Good,E,SI1,59.9,63,2777
0.7,Premium,E,SI1,61.3,58,2777
0.7,Premium,E,SI1,60.5,58,2777
0.7,Good,E,VS2,64.1,59,2777
0.98,Fair,H,SI2,67.9,60,2777
0.78,Premium,F,SI1,62.4,58,2777
0.7,Very Good,E,SI1,63.2,60,2777
0.52,Ideal,F,VVS1,61.3,55,2778
0.73,Very Good,H,VS2,60.8,56,2779
0.74,Ideal,E,SI1,61.7,56,2779
0.7,Very Good,F,VS2,63.6,57,2780
0.77,Premium,G,VS2,61.2,58,2780
0.71,Ideal,F,VS2,62.1,54,2780
0.74,Ideal,G,VS1,61.5,55,2780
0.7,Ideal,G,VS1,61.4,59,2780
1.01,Premium,F,I1,61.8,60,2781
0.77,Ideal,H,SI1,62.2,56,2781
0.78,Ideal,H,SI1,61.2,56,2781
0.72,Very Good,H,VS1,60.6,63,2782
0.53,Very Good,D,VVS2,57.5,64,2782
0.76,Ideal,G,VS2,61.3,56,2782
0.7,Good,E,VS1,57.2,62,2782
0.75,Very Good,D,SI2,63.1,58,2782
0.72,Ideal,D,SI1,60.8,57,2782
0.7,Premium,D,SI1,62.8,60,2782
0.75,Premium,F,SI1,61.4,59,2782
0.52,Ideal,F,IF,62.2,55,2783
0.72,Very Good,F,VS2,63,54,2784
0.79,Very Good,H,VS1,63.7,56,2784
0.72,Very Good,F,VS2,63.6,58,2787
0.51,Ideal,F,VVS1,62,57,2787
0.64,Ideal,D,VS1,61.5,56,2787
0.7,Very Good,H,VVS1,60.5,60,2788
0.83,Very Good,I,VS1,61.1,60,2788
0.76,Ideal,I,VVS2,61.8,56,2788
0.71,Good,D,VS2,63.3,56,2788
0.77,Good,G,VS1,59.4,64,2788
0.71,Ideal,F,SI1,62.5,55,2788
1.01,Fair,E,I1,64.5,58,2788
1.01,Premium,H,SI2,62.7,59,2788
0.77,Good,F,SI1,64.2,52,2789
0.76,Good,E,SI1,63.7,54,2789
0.76,Premium,E,SI1,60.4,58,2789
0.76,Premium,E,SI1,61.8,58,2789
1.05,Very Good,J,SI2,63.2,56,2789
0.7,Ideal,E,SI1,61.6,56,2789
0.55,Ideal,G,IF,60.9,57,2789
0.81,Good,G,SI2,61,61,2789
0.63,Premium,E,VVS2,62.1,57,2789
0.77,Premium,H,VS1,61.3,60,2789
1.05,Fair,J,SI2,65.8,59,2789
0.64,Ideal,G,IF,61.3,56,2790
0.76,Premium,I,VVS1,58.8,59,2790
0.83,Ideal,F,SI2,62.3,55,2790
0.71,Premium,F,VS1,60.1,62,2790
0.71,Premium,F,VS1,61.8,59,2790
0.87,Very Good,I,SI1,63.6,55.8,2791
0.73,Ideal,E,SI1,62.2,56,2791
0.71,Premium,E,SI1,59.2,59,2792
0.71,Premium,E,SI1,61.8,59,2792
0.71,Ideal,E,SI1,61.3,55,2792
0.7,Premium,F,VS1,62.1,60,2792
0.7,Premium,F,VS1,60.7,60,2792
0.76,Premium,H,VVS2,59.6,57,2792
0.7,Ideal,F,VS1,62.2,56,2792
0.7,Very Good,E,VS2,62.9,57,2793
0.7,Good,E,VS2,64.1,55,2793
0.76,Ideal,I,VS2,61.3,56,2793
0.73,Ideal,H,VS2,62.7,55,2793
0.79,Very Good,E,SI1,63.2,56,2794
0.71,Very Good,E,VS2,60.7,56,2795
0.72,Good,F,VS1,60.7,60,2795
0.72,Premium,D,SI2,62,60,2795
0.72,Premium,I,IF,63,57,2795
0.72,Premium,G,VS2,62.9,57,2795
1,Premium,I,SI2,58.2,60,2795
0.73,Good,E,SI1,63.2,58,2796
0.81,Very Good,H,SI2,61.3,59,2797
0.81,Very Good,E,SI1,60.3,60,2797
0.71,Premium,D,SI1,62.7,60,2797
0.71,Premium,D,SI1,61.3,58,2797
0.71,Premium,D,SI1,61.6,60,2797
0.57,Ideal,F,VVS2,61.9,55,2797
0.51,Ideal,D,VVS1,61.7,56,2797
0.72,Ideal,G,VS2,61.9,58,2797
0.74,Ideal,H,VS1,61.8,58,2797
0.74,Ideal,H,VS1,61.6,56,2797
0.7,Fair,G,VVS1,58.8,66,2797
0.8,Premium,F,SI2,61,57,2797
1.01,Fair,E,SI2,67.4,60,2797
0.8,Very Good,H,VS2,63.4,60,2797
0.77,Ideal,I,VS1,61.5,59,2798
0.83,Very Good,E,SI2,58,62,2799
0.82,Ideal,F,SI2,62.4,54,2799
0.78,Ideal,D,SI1,61.9,57,2799
0.6,Very Good,G,IF,61.6,56,2800
0.9,Good,I,SI2,62.2,59,2800
0.7,Premium,E,VS1,62.2,58,2800
0.9,Very Good,I,SI2,61.3,56,2800
0.83,Ideal,G,SI1,62.3,57,2800
0.83,Very Good,H,SI1,62.5,59,2800
0.74,Premium,G,VS1,62.9,60,2800
0.79,Ideal,I,VS1,61.8,59,2800
0.61,Ideal,G,IF,62.3,56,2800
0.96,Ideal,F,I1,60.7,55,2801
0.73,Ideal,F,VS2,62.5,55,2801
0.73,Premium,F,VS2,62.7,58,2801
0.75,Ideal,H,SI1,60.4,57,2801
0.71,Premium,F,VS2,62.1,58,2801
0.71,Good,F,VS2,57.8,60,2801
0.71,Good,F,VS2,63.8,58,2801
0.71,Premium,F,VS2,62.8,57,2801
1.04,Premium,G,I1,62.2,58,2801
0.87,Very Good,G,SI2,59.9,58,2802
0.53,Ideal,F,IF,61.9,54,2802
0.72,Premium,E,VS2,63,55,2802
0.72,Premium,F,VS1,62.4,58,2802
0.7,Very Good,F,VS2,62.9,58,2803
0.74,Very Good,E,SI1,63.5,56,2803
0.71,Ideal,G,VS2,61.3,56,2803
0.73,Ideal,E,SI1,60.6,54,2803
0.7,Good,G,VS1,65.1,58,2803
0.71,Premium,F,VS2,62.6,58,2803
0.71,Premium,F,VS2,58,62,2803
0.71,Premium,G,VS1,62.4,61,2803
0.77,Premium,G,VS2,61.3,57,2803
0.71,Premium,G,VS2,59.9,60,2803
0.78,Premium,G,VS2,60.8,58,2803
0.71,Very Good,G,VS1,63.5,55,2803
0.91,Ideal,D,SI2,62.2,57,2803
0.71,Very Good,E,VS2,63.8,58,2804
0.71,Very Good,E,VS2,64,57,2804
0.8,Very Good,E,SI2,62.5,56,2804
0.7,Very Good,D,SI1,62.3,58,2804
0.72,Ideal,F,VS1,61.7,57,2804
0.72,Very Good,F,VS1,62.2,58,2804
0.82,Ideal,H,VS2,61.5,56,2804
0.7,Ideal,D,SI1,61,59,2804
0.72,Ideal,D,SI1,62.2,56,2804
0.72,Ideal,D,SI1,61.5,54,2804
0.9,Fair,I,SI1,67.3,59,2804
0.74,Premium,F,VS2,61.7,58,2805
0.74,Premium,F,VS2,61.9,56,2805
0.73,Ideal,E,SI2,61.8,58,2805
0.57,Fair,E,VVS1,58.7,66,2805
0.73,Premium,F,VS2,62.5,57,2805
0.72,Ideal,G,VS2,62.8,56,2805
0.74,Fair,F,VS2,61.1,68,2805
0.82,Good,G,VS2,64,57,2805
0.81,Very Good,G,SI1,62.5,60,2806
0.75,Very Good,H,VVS1,60.6,58,2806
0.7,Ideal,F,SI1,61.6,55,2806
0.71,Very Good,F,VS1,62.2,58,2807
0.71,Very Good,F,VS1,60,57,2807
0.93,Premium,J,SI2,61.9,57,2807
0.7,Very Good,F,VS1,62,57,2808
1,Fair,G,I1,66.4,59,2808
0.75,Very Good,G,VS2,63.4,56,2808
0.58,Ideal,E,VVS2,60.9,56,2808
0.73,Very Good,D,SI1,63.1,57,2808
0.81,Very Good,F,SI1,63.1,59,2809
0.81,Premium,D,SI2,59.2,57,2809
1.2,Fair,F,I1,64.6,56,2809
0.7,Very Good,F,VS1,61.8,56,2810
0.7,Very Good,F,VS1,59.9,60,2810
0.74,Ideal,D,SI2,61.7,55,2810
0.7,Good,F,VS1,62.8,61,2810
0.8,Good,G,SI1,62.7,57,2810
0.75,Very Good,F,SI1,63.4,58,2811
0.83,Very Good,D,SI1,63.5,54,2811
1,Fair,J,VS2,65.7,59,2811
0.99,Fair,I,SI2,68.1,56,2811
0.7,Very Good,G,VS1,63,60,2812
0.7,Very Good,F,VS2,59.5,58,2812
0.7,Good,E,SI1,63.5,59,2812
0.7,Very Good,F,VS2,61.7,58,2812
0.32,Premium,I,SI1,62.7,58,554
0.32,Premium,I,SI1,62.8,58,554
0.32,Ideal,I,SI1,62.4,57,554
0.32,Premium,I,SI1,61,59,554
0.32,Very Good,I,SI1,63.1,56,554
0.32,Ideal,I,SI1,60.7,57,554
0.3,Premium,H,SI1,60.9,59,554
0.3,Premium,H,SI1,62.9,58,554
0.3,Very Good,H,SI1,63.3,56,554
0.3,Good,H,SI1,63.8,55,554
0.3,Ideal,H,SI1,62.9,57,554
0.3,Very Good,H,SI1,63.4,60,554
0.32,Good,I,SI1,63.9,55,554
0.29,Very Good,E,VS1,61.9,55,555
0.29,Very Good,E,VS1,62.4,55,555
0.31,Very Good,F,SI1,61.8,58,555
0.34,Ideal,H,VS2,61.5,56,555
0.34,Ideal,H,VS2,60.4,57,555
0.34,Ideal,I,VS1,61.8,55,555
0.34,Ideal,I,VS1,62,56,555
0.3,Ideal,G,VS1,62.3,56,555
0.29,Ideal,F,VS1,61.6,56,555
0.35,Ideal,G,SI1,60.6,56,555
0.43,Very Good,E,I1,58.4,62,555
0.32,Very Good,F,VS2,61.4,58,556
0.36,Ideal,I,VS2,61.9,56,556
0.26,Ideal,E,VS1,61.5,57,556
0.7,Very Good,F,VS2,62.3,58,2812
0.7,Very Good,F,VS2,60.9,61,2812
0.99,Fair,J,SI1,55,61,2812
0.73,Premium,E,VS2,58.6,60,2812
0.51,Ideal,F,VVS1,62,57,2812
0.91,Premium,G,SI2,59.8,58,2813
0.91,Good,I,VS2,64.3,58,2813
0.76,Premium,E,SI1,62.2,59,2814
0.76,Ideal,E,SI1,61.7,57,2814
0.75,Premium,E,SI1,61.1,59,2814
0.55,Very Good,D,VVS1,61.5,56,2815
0.76,Very Good,F,SI2,58.5,62,2815
0.74,Premium,G,VS1,61.7,58,2815
0.7,Ideal,H,SI1,60.4,56,2815
0.7,Ideal,H,SI1,61.4,56,2815
0.7,Ideal,H,SI1,61.5,55,2815
0.7,Ideal,H,SI1,61.4,56,2815
0.9,Fair,J,VS2,65,56,2815
0.95,Fair,F,SI2,56,60,2815
0.89,Premium,H,SI2,60.2,59,2815
0.72,Premium,E,VS2,58.3,58,2815
0.96,Fair,E,SI2,53.1,63,2815
1.02,Premium,G,I1,60.3,58,2815
0.78,Very Good,I,VVS2,61.4,56,2816
0.61,Ideal,G,VVS2,60.1,57,2816
0.71,Good,D,VS1,63.4,55,2816
0.78,Premium,F,SI1,61.5,59,2816
0.87,Ideal,H,SI2,62.7,56,2816
0.71,Premium,E,SI1,61.3,56,2817
0.71,Ideal,I,VVS2,60.2,56,2817
0.71,Ideal,E,VS2,62.7,57,2817
0.71,Premium,E,VS2,62.3,58,2817
0.63,Ideal,F,VVS2,61.5,56,2817
0.71,Premium,E,SI1,59.2,59,2817
0.71,Premium,E,SI1,61.8,59,2817
0.71,Premium,E,SI1,61.4,58,2817
0.9,Ideal,J,VS2,62.8,55,2817
0.7,Premium,E,VS2,62.4,61,2818
0.7,Premium,E,VS2,59.3,60,2818
0.7,Premium,E,VS2,63,60,2818
1,Premium,H,I1,61.3,60,2818
0.86,Premium,F,SI2,59.3,62,2818
0.8,Ideal,H,SI1,61,57,2818
0.7,Premium,E,VS1,59.6,57,2818
0.7,Premium,F,VS2,61.8,60,2818
0.7,Premium,E,VS1,62.7,57,2818
1,Fair,H,SI2,65.3,62,2818
0.72,Very Good,G,VS1,63.8,58,2819
0.72,Ideal,H,VS1,62.3,56,2819
0.7,Good,F,VS1,59.7,63,2819
0.86,Good,F,SI2,64.3,60,2819
0.75,Ideal,E,SI1,62,57,2821
0.73,Premium,E,VS2,61.6,59,2821
0.53,Ideal,E,VVS1,61.9,55,2821
0.73,Premium,E,SI1,61.3,58,2821
0.73,Good,E,SI1,63.6,57,2821
0.73,Very Good,E,SI1,63.2,58,2821
0.7,Premium,E,VS1,60.8,60,2822
0.72,Premium,E,VS2,60.3,59,2822
0.72,Premium,E,VS2,60.9,60,2822
0.72,Premium,E,VS2,62.4,59,2822
0.7,Premium,E,VS2,60.2,60,2822
0.6,Ideal,F,VVS2,62,55,2822
0.74,Ideal,I,VVS1,60.8,57,2822
0.73,Ideal,F,SI1,62.1,55,2822
0.71,Premium,D,SI1,62.7,60,2822
0.71,Premium,D,SI1,61.3,58,2822
0.7,Premium,D,SI1,60.2,60,2822
0.7,Ideal,D,SI1,60.7,56,2822
0.9,Good,J,VS2,64,61,2822
0.7,Premium,E,VS2,61.5,59,2822
0.7,Premium,E,VS2,62.6,56,2822
0.7,Ideal,D,SI1,59.7,58,2822
0.7,Good,E,SI1,61.4,64,2822
0.7,Ideal,D,SI1,62.5,57,2822
0.7,Ideal,D,SI1,61.8,56,2822
0.7,Premium,E,VS2,60.7,62,2822
0.7,Premium,F,VS2,60.6,58,2822
0.7,Ideal,D,SI1,61.4,54,2822
0.9,Good,I,SI1,63.8,57,2823
0.61,Ideal,E,VVS2,61.3,54,2823
0.71,Ideal,E,SI1,60.5,56,2823
0.77,Ideal,I,VVS2,62.1,57,2824
0.74,Good,E,VS1,63.1,58,2824
0.82,Premium,E,SI2,60.8,60,2824
0.71,Premium,G,VS1,62.2,59,2825
0.83,Premium,H,SI1,60,59,2825
0.73,Very Good,G,VS1,62,57,2825
0.83,Premium,H,SI1,62.5,59,2825
1.17,Premium,J,I1,60.2,61,2825
0.91,Fair,H,SI2,61.3,67,2825
0.73,Premium,E,VS1,62.6,60,2826
0.7,Good,E,VS1,57.2,59,2826
0.9,Premium,I,SI2,62.2,59,2826
0.7,Premium,E,VS1,62.2,58,2826
0.7,Very Good,D,VS2,63.3,56,2826
0.7,Premium,E,VS1,59.4,61,2826
0.9,Very Good,I,SI2,63.5,56,2826
0.78,Premium,F,SI1,60.8,60,2826
0.96,Ideal,F,I1,60.7,55,2826
0.7,Very Good,D,SI1,62.3,59,2827
0.72,Good,D,VS2,64,54,2827
0.79,Premium,H,VVS2,62.6,58,2827
0.7,Ideal,H,VVS1,61.6,57,2827
0.7,Ideal,H,VVS1,62.3,55,2827
0.7,Ideal,D,SI2,60.6,57,2828
1.01,Premium,H,SI2,61.6,61,2828
0.72,Premium,F,VS1,62.2,58,2829
0.8,Good,E,SI2,63.7,54,2829
0.59,Ideal,E,VVS1,62,56,2829
0.72,Ideal,F,VS1,61.7,57,2829
0.75,Premium,E,SI2,61.9,57,2829
0.8,Premium,E,SI2,60.2,57,2829
0.71,Very Good,E,VS2,62.7,59,2830
0.77,Very Good,H,SI1,61.7,56,2830
0.97,Ideal,F,I1,60.7,56,2830
0.53,Ideal,F,VVS1,60.9,57,2830
0.53,Ideal,F,VVS1,61.8,57,2830
0.8,Ideal,I,VS2,62.1,54.4,2830
0.9,Premium,G,SI1,60.6,62,2830
0.76,Very Good,E,SI2,60.8,60,2831
0.72,Ideal,E,SI1,62.3,57,2831
0.75,Ideal,E,SI1,61.4,57,2831
0.72,Premium,E,SI1,62.1,58,2831
0.79,Ideal,G,SI1,61.8,56,2831
0.72,Very Good,F,VS2,62.5,58,2832
0.91,Very Good,I,SI2,62.8,61,2832
0.71,Premium,G,VVS2,62.1,57,2832
0.81,Premium,G,SI1,63,60,2832
0.71,Premium,F,VS1,62.2,58,2832
0.9,Good,J,SI1,64.3,63,2832
0.8,Very Good,I,VS2,62,58,2833
0.56,Very Good,E,IF,61,59,2833
0.7,Very Good,D,VS2,59.6,61,2833
0.7,Ideal,D,VS2,61,57,2833
0.61,Ideal,F,VVS2,61.7,55,2833
0.85,Ideal,H,SI2,62.5,57,2833
0.7,Ideal,F,SI1,60.7,57,2833
0.8,Ideal,G,VS2,62.2,56,2834
0.8,Ideal,H,VS2,62.8,57,2834
0.51,Very Good,D,VVS1,59.9,58,2834
0.53,Ideal,F,VVS1,61.4,57,2834
0.78,Ideal,I,VS2,61.8,55,2834
0.9,Very Good,J,SI1,63.4,54,2834
0.9,Fair,G,SI2,65.3,59,2834
0.77,Ideal,E,SI2,60.7,55,2834
0.73,Ideal,F,VS1,61.2,56,2835
0.63,Ideal,F,VVS2,61.9,57,2835
0.7,Ideal,E,VS2,61.5,54,2835
0.72,Ideal,E,VS2,62.8,57,2835
0.72,Ideal,E,SI1,61,57,2835
0.82,Very Good,H,SI1,60.7,56,2836
0.71,Good,E,VS2,62.8,60,2836
0.7,Premium,E,VS1,62.6,59,2837
0.7,Ideal,E,VS1,61.8,56,2837
0.71,Ideal,F,SI1,59.8,53,2838
0.76,Very Good,H,SI1,60.9,55,2838
0.82,Fair,F,SI1,64.9,58,2838
0.72,Premium,F,VS1,58.8,60,2838
0.7,Premium,F,VS2,62.3,58,2838
0.7,Premium,F,VS2,61.7,58,2838
0.7,Premium,G,VS1,62.6,55,2838
0.7,Premium,F,VS2,59.4,61,2838
0.7,Premium,F,VS2,60.9,61,2838
0.74,Very Good,E,SI1,60,57,2839
0.71,Ideal,F,VS1,61.5,57,2839
0.7,Ideal,F,VS1,61.6,54,2839
0.71,Ideal,F,VS1,62.1,55,2839
0.71,Premium,F,VS1,59.1,61,2839
0.71,Premium,F,VS1,59,60,2839
0.71,Premium,F,VS1,60.5,58,2839
0.7,Ideal,F,VS1,62.4,53,2839
0.73,Ideal,G,VS2,61.8,54,2839
0.7,Ideal,E,VS2,62.1,54,2839
0.7,Ideal,G,VS1,61.3,57,2839
0.71,Premium,G,VVS2,60.3,58,2839
0.71,Premium,F,VS1,59.2,58,2839
0.79,Premium,G,VS2,59.3,62,2839
0.71,Premium,F,VS1,62.7,59,2839
0.77,Very Good,H,VS1,61,60,2840
0.7,Ideal,F,SI1,61,56,2840
0.71,Premium,F,VS2,59.3,56,2840
0.92,Ideal,D,SI2,61.9,56,2840
0.83,Premium,F,SI2,61.4,59,2840
0.7,Premium,H,VVS1,59.2,60,2840
0.73,Premium,F,VS2,60.3,59,2841
0.71,Very Good,D,VS1,63.4,55,2841
0.73,Very Good,D,SI1,63.9,57,2841
0.82,Ideal,F,SI2,61.7,53,2841
0.82,Ideal,F,SI2,62.3,56,2841
0.82,Very Good,F,SI2,59.7,57,2841
0.52,Ideal,F,VVS1,61.2,56,2841
1,Premium,F,I1,58.9,60,2841
0.95,Fair,G,SI1,66.7,56,2841
0.73,Ideal,D,SI1,61.4,57,2841
0.73,Premium,F,VS2,59.9,59,2841
0.73,Premium,G,VS1,61.4,58,2841
0.8,Ideal,I,VS1,62.6,54,2842
0.7,Premium,F,VS2,58.7,61,2842
0.7,Very Good,E,VS2,60.2,62,2843
0.7,Very Good,E,VS2,62.7,58,2843
0.71,Very Good,E,VS2,59.4,58,2843
0.81,Very Good,F,SI2,63.2,58,2843
0.71,Very Good,D,SI1,61.5,58,2843
0.73,Ideal,G,VVS2,61.3,57,2843
0.73,Very Good,F,VS1,61.8,59,2843
0.72,Ideal,E,VS2,62,57,2843
0.81,Ideal,F,SI2,62.1,57,2843
0.71,Ideal,G,VVS2,60.7,57,2843
0.73,Very Good,E,SI1,57.7,61,2844
0.7,Very Good,E,VS1,62,59,2844
1.01,Ideal,I,I1,61.5,57,2844
1.01,Good,I,I1,63.1,57,2844
0.79,Ideal,H,VS2,62.5,57,2844
0.7,Very Good,E,VS2,61.8,59,2845
0.7,Very Good,E,VS2,58.9,60,2845
